,Unnamed: 0,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
10,10,2022-10-21,Worlds 2022 Main Event,T1,Royal Never Give Up,Win,Royal Never Give Up,T1,Red,42:00,Akali,Sylas,3,2,6,4.5,329,16.6,26.3,-46,Teleport,Flash,"['Hextech Rocketbelt', 'EmptyIcon', ""Zhonya's Hourglass"", 'Morellonomicon', ""Sorcerer's Shoes"", 'Shadowflame', 'Oracle Lens']",Hextech Rocketbelt,EmptyIcon,Zhonya's Hourglass,Morellonomicon,Sorcerer's Shoes,Shadowflame
11,11,2022-10-21,Worlds 2022 Main Event,T1,Royal Never Give Up,Win,T1,Royal Never Give Up,Blue,38:09,Viktor,Akali,3,3,7,3.33,326,15.8,24.4,-7,Teleport,Flash,"['Control Ward', ""Rabadon's Deathcap"", ""Zhonya's Hourglass"", 'Crown of the Shattered Queen', ""Sorcerer's Shoes"", 'Lich Bane', 'Oracle Lens']",Control Ward,Rabadon's Deathcap,Zhonya's Hourglass,Crown of the Shattered Queen,Sorcerer's Shoes,Lich Bane
12,12,2022-10-13,Worlds 2022 Main Event,T1,EDward Gaming,Win,EDward Gaming,T1,Red,28:14,Viktor,Lissandra,6,3,15,7.0,208,12.6,30.1,7,Teleport,Flash,"['Lich Bane', ""Mercury's Treads"", 'EmptyIcon', ""Luden's Tempest"", 'Void Staff', 'EmptyIcon', 'Farsight Alteration']",Lich Bane,Mercury's Treads,EmptyIcon,Luden's Tempest,Void Staff,EmptyIcon
13,13,2022-10-13,Worlds 2022 Main Event,T1,Cloud9,Win,T1,Cloud9,Blue,23:19,Sylas,Akali,1,3,5,2.0,156,8.5,10.0,2,Teleport,Flash,"['Everfrost', ""Doran's Ring"", 'Broken Stopwatch', 'Fiendish Codex', ""Seeker's Armguard"", 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,Doran's Ring,Broken Stopwatch,Fiendish Codex,Seeker's Armguard,Ionian Boots of Lucidity
14,14,2022-10-13,Worlds 2022 Main Event,T1,Fnatic,Win,T1,Fnatic,Blue,29:07,Sylas,Akali,6,3,1,2.33,182,11.4,13.6,-74,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", 'Needlessly Large Rod', 'EmptyIcon', 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Needlessly Large Rod,EmptyIcon,Ionian Boots of Lucidity
15,15,2022-10-10,Worlds 2022 Main Event,T1,Cloud9,Win,Cloud9,T1,Red,25:00,Lissandra,Azir,0,1,9,9.0,200,9.0,7.0,-30,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", 'Fiendish Codex', 'Ionian Boots of Lucidity', 'Dark Seal', 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Fiendish Codex,Ionian Boots of Lucidity,Dark Seal
16,16,2022-10-08,Worlds 2022 Main Event,T1,Fnatic,Loss,Fnatic,T1,Red,29:14,Akali,Azir,1,4,0,0.25,202,9.1,11.6,-64,Teleport,Flash,"['Hextech Rocketbelt', 'EmptyIcon', ""Zhonya's Hourglass"", 'EmptyIcon', 'Dark Seal', ""Sorcerer's Shoes"", 'Oracle Lens']",Hextech Rocketbelt,EmptyIcon,Zhonya's Hourglass,EmptyIcon,Dark Seal,Sorcerer's Shoes
17,17,2022-10-08,Worlds 2022 Main Event,T1,EDward Gaming,Win,T1,EDward Gaming,Blue,22:52,Akali,Azir,7,1,7,14.0,169,9.7,12.7,-19,Teleport,Flash,"['Hextech Rocketbelt', 'Shadowflame', 'EmptyIcon', ""Sorcerer's Shoes"", 'EmptyIcon', 'Dark Seal', 'Oracle Lens']",Hextech Rocketbelt,Shadowflame,EmptyIcon,Sorcerer's Shoes,EmptyIcon,Dark Seal
18,0,2022-08-28,LCK 2022 Summer Playoffs,T1,Gen.G,Loss,Gen.G,T1,Red,34:29,Ahri,Azir,0,2,2,1.0,273,11.8,6.4,-32,Teleport,Flash,"['Everfrost', 'Control Ward', ""Zhonya's Hourglass"", ""Banshee's Veil"", 'Blasting Wand', 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,Control Ward,Zhonya's Hourglass,Banshee's Veil,Blasting Wand,Ionian Boots of Lucidity
19,1,2022-08-28,LCK 2022 Summer Playoffs,T1,Gen.G,Loss,T1,Gen.G,Blue,26:13,Renekton,Sylas,1,5,0,0.2,216,8.6,8.0,-46,Teleport,Flash,"['Goredrinker', 'Vampiric Scepter', 'EmptyIcon', ""Doran's Blade"", ""Mercury's Treads"", 'Recurve Bow', 'Farsight Alteration']",Goredrinker,Vampiric Scepter,EmptyIcon,Doran's Blade,Mercury's Treads,Recurve Bow
20,2,2022-08-28,LCK 2022 Summer Playoffs,T1,Gen.G,Loss,T1,Gen.G,Blue,38:14,Ahri,Azir,2,4,4,1.5,315,14.1,13.1,-39,Teleport,Flash,"['Eternal Winter', ""Rabadon's Deathcap"", ""Zhonya's Hourglass"", 'Void Staff', 'Ionian Boots of Lucidity', 'Dark Seal', 'Oracle Lens']",Eternal Winter,Rabadon's Deathcap,Zhonya's Hourglass,Void Staff,Ionian Boots of Lucidity,Dark Seal
21,3,2022-08-21,LCK 2022 Summer Playoffs,T1,DWG KIA,Win,T1,DWG KIA,Blue,42:53,Galio,Yasuo,1,1,6,7.0,338,15.3,7.3,-92,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", ""Sorcerer's Shoes"", ""Banshee's Veil"", ""Rabadon's Deathcap"", 'Farsight Alteration']",Everfrost,EmptyIcon,Zhonya's Hourglass,Sorcerer's Shoes,Banshee's Veil,Rabadon's Deathcap
22,4,2022-08-21,LCK 2022 Summer Playoffs,T1,DWG KIA,Loss,T1,DWG KIA,Blue,32:50,Azir,Sylas,0,3,3,1.0,258,12.1,13.8,0,Teleport,Flash,"['Blasting Wand', 'Morellonomicon', ""Zhonya's Hourglass"", 'Crown of the Shattered Queen', 'Dark Seal', ""Sorcerer's Shoes"", 'Farsight Alteration']",Blasting Wand,Morellonomicon,Zhonya's Hourglass,Crown of the Shattered Queen,Dark Seal,Sorcerer's Shoes
23,5,2022-08-21,LCK 2022 Summer Playoffs,T1,DWG KIA,Loss,DWG KIA,T1,Red,38:17,Lissandra,Swain,0,4,6,1.5,326,13.4,16.0,46,Teleport,Flash,"['Blighting Jewel', ""Rabadon's Deathcap"", ""Zhonya's Hourglass"", ""Mercury's Treads"", ""Luden's Tempest"", 'Dark Seal', 'Oracle Lens']",Blighting Jewel,Rabadon's Deathcap,Zhonya's Hourglass,Mercury's Treads,Luden's Tempest,Dark Seal
24,6,2022-08-21,LCK 2022 Summer Playoffs,T1,DWG KIA,Win,DWG KIA,T1,Red,25:36,Sylas,LeBlanc,4,2,7,5.5,203,10.6,11.7,3,Teleport,Flash,"['Everfrost', 'Control Ward', ""Zhonya's Hourglass"", 'Shadowflame', ""Doran's Ring"", ""Mercury's Treads"", 'Oracle Lens']",Everfrost,Control Ward,Zhonya's Hourglass,Shadowflame,Doran's Ring,Mercury's Treads
25,7,2022-08-21,LCK 2022 Summer Playoffs,T1,DWG KIA,Win,T1,DWG KIA,Blue,25:04,Azir,Taliyah,5,1,7,12.0,235,11.8,19.8,60,Teleport,Flash,"['EmptyIcon', 'Void Staff', ""Zhonya's Hourglass"", ""Sorcerer's Shoes"", 'Dark Seal', 'Crown of the Shattered Queen', 'Oracle Lens']",EmptyIcon,Void Staff,Zhonya's Hourglass,Sorcerer's Shoes,Dark Seal,Crown of the Shattered Queen
26,0,2022-08-13,LCK 2022 Summer,T1,DWG KIA,Win,DWG KIA,T1,Red,31:15,Ahri,Sylas,3,3,10,4.33,233,12.8,23.2,-4,Teleport,Flash,"['Everfrost', 'Blasting Wand', 'Broken Stopwatch', 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Morellonomicon', 'Oracle Lens']",Everfrost,Blasting Wand,Broken Stopwatch,Ionian Boots of Lucidity,Rabadon's Deathcap,Morellonomicon
27,1,2022-08-13,LCK 2022 Summer,T1,DWG KIA,Win,T1,DWG KIA,Blue,31:25,Ahri,Azir,6,0,9,15.0,306,14.9,21.8,-3,Teleport,Flash,"['Eternal Winter', 'Void Staff', 'Broken Stopwatch', ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity', ""Mejai's Soulstealer"", 'Oracle Lens']",Eternal Winter,Void Staff,Broken Stopwatch,Rabadon's Deathcap,Ionian Boots of Lucidity,Mejai's Soulstealer
28,2,2022-08-10,LCK 2022 Summer,T1,Liiv SANDBOX,Loss,T1,Liiv SANDBOX,Blue,23:48,Swain,Azir,1,4,4,1.25,165,7.6,9.8,-48,Teleport,Flash,"['Corrupting Potion', 'Imperial Mandate', 'Control Ward', 'Ionian Boots of Lucidity', ""Rylai's Crystal Scepter"", 'Broken Stopwatch', 'Oracle Lens']",Corrupting Potion,Imperial Mandate,Control Ward,Ionian Boots of Lucidity,Rylai's Crystal Scepter,Broken Stopwatch
29,3,2022-08-10,LCK 2022 Summer,T1,Liiv SANDBOX,Loss,Liiv SANDBOX,T1,Red,30:31,Azir,Ahri,2,2,2,2.0,284,12.5,17.1,-37,Teleport,Flash,"[""Rabadon's Deathcap"", 'Dark Seal', 'EmptyIcon', 'Crown of the Shattered Queen', ""Sorcerer's Shoes"", 'Void Staff', 'Farsight Alteration']",Rabadon's Deathcap,Dark Seal,EmptyIcon,Crown of the Shattered Queen,Sorcerer's Shoes,Void Staff
30,4,2022-08-07,LCK 2022 Summer,T1,Nongshim RedForce,Win,T1,Nongshim RedForce,Blue,34:50,Azir,Ahri,3,2,15,9.0,308,15.7,23.8,66,Teleport,Flash,"['Void Staff', ""Sorcerer's Shoes"", ""Zhonya's Hourglass"", 'Shadowflame', ""Mejai's Soulstealer"", 'Crown of the Shattered Queen', 'Farsight Alteration']",Void Staff,Sorcerer's Shoes,Zhonya's Hourglass,Shadowflame,Mejai's Soulstealer,Crown of the Shattered Queen
31,5,2022-08-07,LCK 2022 Summer,T1,Nongshim RedForce,Loss,Nongshim RedForce,T1,Red,34:04,Azir,Sylas,0,5,1,0.2,293,13.0,20.0,22,Teleport,Flash,"['Blasting Wand', ""Sorcerer's Shoes"", ""Zhonya's Hourglass"", 'Crown of the Shattered Queen', 'Dark Seal', 'Shadowflame', 'Oracle Lens']",Blasting Wand,Sorcerer's Shoes,Zhonya's Hourglass,Crown of the Shattered Queen,Dark Seal,Shadowflame
32,6,2022-08-07,LCK 2022 Summer,T1,Nongshim RedForce,Win,Nongshim RedForce,T1,Red,29:04,Azir,Seraphine,5,1,7,12.0,286,15.2,26.9,23,Teleport,Flash,"['Corrupting Potion', 'Shadowflame', ""Zhonya's Hourglass"", ""Luden's Tempest"", ""Sorcerer's Shoes"", ""Rabadon's Deathcap"", 'Farsight Alteration']",Corrupting Potion,Shadowflame,Zhonya's Hourglass,Luden's Tempest,Sorcerer's Shoes,Rabadon's Deathcap
33,7,2022-08-04,LCK 2022 Summer,T1,Hanwha Life Esports,Win,Hanwha Life Esports,T1,Red,28:01,Taliyah,Sylas,3,2,7,5.0,277,12.9,17.8,54,Ghost,Flash,"[""Seraph's Embrace"", 'Crown of the Shattered Queen', 'Control Ward', 'Void Staff', 'Needlessly Large Rod', 'Ionian Boots of Lucidity', 'Oracle Lens']",Seraph's Embrace,Crown of the Shattered Queen,Control Ward,Void Staff,Needlessly Large Rod,Ionian Boots of Lucidity
34,8,2022-08-04,LCK 2022 Summer,T1,Hanwha Life Esports,Win,T1,Hanwha Life Esports,Blue,32:25,Galio,Azir,2,1,12,14.0,304,14.0,11.6,50,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', ""Mejai's Soulstealer"", ""Rabadon's Deathcap"", 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Ionian Boots of Lucidity,Mejai's Soulstealer,Rabadon's Deathcap
35,9,2022-07-30,LCK 2022 Summer,T1,Gen.G,Loss,T1,Gen.G,Blue,24:55,Azir,Ahri,0,2,2,1.0,215,9.2,15.3,-22,Teleport,Flash,"['Control Ward', ""Luden's Tempest"", ""Zhonya's Hourglass"", 'Hextech Alternator', ""Doran's Ring"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Control Ward,Luden's Tempest,Zhonya's Hourglass,Hextech Alternator,Doran's Ring,Sorcerer's Shoes
36,10,2022-07-30,LCK 2022 Summer,T1,Gen.G,Loss,T1,Gen.G,Blue,36:04,Twisted Fate,Sylas,0,1,5,5.0,254,12.1,10.2,-151,Teleport,Flash,"['Everfrost', 'Corrupting Potion', ""Zhonya's Hourglass"", 'Aether Wisp', 'Ionian Boots of Lucidity', 'Rapid Firecannon', 'Oracle Lens']",Everfrost,Corrupting Potion,Zhonya's Hourglass,Aether Wisp,Ionian Boots of Lucidity,Rapid Firecannon
37,11,2022-07-27,LCK 2022 Summer,T1,KT Rolster,Win,T1,KT Rolster,Blue,32:10,Orianna,Ryze,1,2,11,6.0,293,13.3,19.4,-11,Teleport,Flash,"[""Rabadon's Deathcap"", ""Sorcerer's Shoes"", 'EmptyIcon', ""Seraph's Embrace"", ""Luden's Tempest"", 'EmptyIcon', 'Farsight Alteration']",Rabadon's Deathcap,Sorcerer's Shoes,EmptyIcon,Seraph's Embrace,Luden's Tempest,EmptyIcon
38,12,2022-07-27,LCK 2022 Summer,T1,KT Rolster,Loss,KT Rolster,T1,Red,33:29,Galio,Ryze,2,3,4,2.0,234,10.7,9.5,-103,Teleport,Flash,"['Everfrost', 'Control Ward', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', 'Morellonomicon', 'Dark Seal', 'Oracle Lens']",Everfrost,Control Ward,Zhonya's Hourglass,Ionian Boots of Lucidity,Morellonomicon,Dark Seal
39,13,2022-07-27,LCK 2022 Summer,T1,KT Rolster,Win,T1,KT Rolster,Blue,30:25,Galio,Azir,2,1,4,6.0,251,11.5,7.3,-8,Teleport,Flash,"['Everfrost', 'Control Ward', ""Zhonya's Hourglass"", ""Mercury's Treads"", 'Needlessly Large Rod', 'Dark Seal', 'Oracle Lens']",Everfrost,Control Ward,Zhonya's Hourglass,Mercury's Treads,Needlessly Large Rod,Dark Seal
40,14,2022-07-23,LCK 2022 Summer,T1,Fredit BRION,Win,Fredit BRION,T1,Red,37:49,Galio,Ryze,2,2,13,7.5,255,13.1,14.1,-82,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'EmptyIcon', 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Ionian Boots of Lucidity,Rabadon's Deathcap,EmptyIcon
41,15,2022-07-23,LCK 2022 Summer,T1,Fredit BRION,Win,T1,Fredit BRION,Blue,33:37,Sylas,Corki,5,2,4,4.5,298,14.7,21.6,-50,Teleport,Flash,"['Everfrost', 'Void Staff', ""Zhonya's Hourglass"", 'Dark Seal', ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,Void Staff,Zhonya's Hourglass,Dark Seal,Rabadon's Deathcap,Ionian Boots of Lucidity
42,16,2022-07-23,LCK 2022 Summer,T1,Fredit BRION,Loss,Fredit BRION,T1,Red,32:37,Azir,Ryze,2,3,1,1.0,312,13.4,16.5,-21,Teleport,Flash,"['Corrupting Potion', 'Shadowflame', 'Void Staff', 'Broken Stopwatch', ""Luden's Tempest"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Corrupting Potion,Shadowflame,Void Staff,Broken Stopwatch,Luden's Tempest,Sorcerer's Shoes
43,17,2022-07-21,LCK 2022 Summer,T1,Kwangdong Freecs,Win,T1,Kwangdong Freecs,Blue,40:03,Taliyah,Ahri,3,1,7,10.0,375,17.4,20.9,43,Ghost,Flash,"[""Seraph's Embrace"", 'Blasting Wand', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Crown of the Shattered Queen', 'Oracle Lens']",Seraph's Embrace,Blasting Wand,Zhonya's Hourglass,Ionian Boots of Lucidity,Rabadon's Deathcap,Crown of the Shattered Queen
44,18,2022-07-21,LCK 2022 Summer,T1,Kwangdong Freecs,Win,T1,Kwangdong Freecs,Blue,32:26,Taliyah,Ahri,2,2,4,3.0,307,14.7,13.0,26,Ghost,Flash,"['Needlessly Large Rod', 'Void Staff', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', 'Caesura', ""Seraph's Embrace"", 'Farsight Alteration']",Needlessly Large Rod,Void Staff,Zhonya's Hourglass,Ionian Boots of Lucidity,Caesura,Seraph's Embrace
45,19,2022-07-21,LCK 2022 Summer,T1,Kwangdong Freecs,Loss,T1,Kwangdong Freecs,Blue,30:52,Lissandra,Taliyah,1,3,1,0.67,269,10.8,12.0,-7,Teleport,Flash,"['Corrupting Potion', 'Control Ward', ""Zhonya's Hourglass"", ""Luden's Tempest"", 'Shadowflame', ""Sorcerer's Shoes"", 'Oracle Lens']",Corrupting Potion,Control Ward,Zhonya's Hourglass,Luden's Tempest,Shadowflame,Sorcerer's Shoes
46,20,2022-07-16,LCK 2022 Summer,T1,DRX,Win,DRX,T1,Red,32:09,Azir,Akali,5,1,7,12.0,311,15.9,28.9,45,Teleport,Flash,"['Crown of the Shattered Queen', 'Blasting Wand', ""Rabadon's Deathcap"", ""Sorcerer's Shoes"", 'Shadowflame', 'Blighting Jewel', 'Farsight Alteration']",Crown of the Shattered Queen,Blasting Wand,Rabadon's Deathcap,Sorcerer's Shoes,Shadowflame,Blighting Jewel
47,21,2022-07-16,LCK 2022 Summer,T1,DRX,Win,DRX,T1,Red,26:58,Seraphine,Azir,2,1,10,12.0,229,10.5,18.2,-14,Teleport,Flash,"[""Giant's Belt"", ""Liandry's Anguish"", 'Control Ward', ""Seraph's Embrace"", 'Dark Seal', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Giant's Belt,Liandry's Anguish,Control Ward,Seraph's Embrace,Dark Seal,Ionian Boots of Lucidity
48,22,2022-07-13,LCK 2022 Summer,T1,Hanwha Life Esports,Win,T1,Hanwha Life Esports,Blue,30:28,Corki,Ahri,3,1,3,6.0,344,17.0,21.7,79,Teleport,Flash,"[""Luden's Tempest"", 'Guardian Angel', 'Void Staff', 'Muramana', ""Sorcerer's Shoes"", 'Hexdrinker', 'Farsight Alteration']",Luden's Tempest,Guardian Angel,Void Staff,Muramana,Sorcerer's Shoes,Hexdrinker
49,23,2022-07-13,LCK 2022 Summer,T1,Hanwha Life Esports,Loss,Hanwha Life Esports,T1,Red,36:46,Seraphine,Azir,2,4,5,1.75,288,13.5,20.2,4,Teleport,Flash,"[""Seraph's Embrace"", ""Luden's Tempest"", 'Needlessly Large Rod', 'Dark Seal', 'Ionian Boots of Lucidity', 'Chemtech Putrifier', 'Farsight Alteration']",Seraph's Embrace,Luden's Tempest,Needlessly Large Rod,Dark Seal,Ionian Boots of Lucidity,Chemtech Putrifier
50,24,2022-07-13,LCK 2022 Summer,T1,Hanwha Life Esports,Win,Hanwha Life Esports,T1,Red,32:42,Seraphine,Azir,2,0,4,6.0,277,12.9,11.9,-25,Teleport,Flash,"['Ionian Boots of Lucidity', ""Seraph's Embrace"", 'Control Ward', ""Liandry's Anguish"", 'Dark Seal', ""Rylai's Crystal Scepter"", 'Oracle Lens']",Ionian Boots of Lucidity,Seraph's Embrace,Control Ward,Liandry's Anguish,Dark Seal,Rylai's Crystal Scepter
51,25,2022-07-10,LCK 2022 Summer,T1,Fredit BRION,Win,Fredit BRION,T1,Red,23:42,Yasuo,Seraphine,5,2,8,6.5,216,11.7,10.4,41,Teleport,Flash,"['Immortal Shieldbow', 'Infinity Edge', 'EmptyIcon', ""Berserker's Greaves"", 'Chain Vest', 'EmptyIcon', 'Oracle Lens']",Immortal Shieldbow,Infinity Edge,EmptyIcon,Berserker's Greaves,Chain Vest,EmptyIcon
52,26,2022-07-10,LCK 2022 Summer,T1,Fredit BRION,Win,T1,Fredit BRION,Blue,29:15,LeBlanc,Ahri,5,0,4,9.0,252,12.1,14.8,0,Teleport,Flash,"['Corrupting Potion', ""Luden's Tempest"", ""Rabadon's Deathcap"", ""Mercury's Treads"", 'Blasting Wand', 'Dark Seal', 'Oracle Lens']",Corrupting Potion,Luden's Tempest,Rabadon's Deathcap,Mercury's Treads,Blasting Wand,Dark Seal
53,27,2022-07-08,LCK 2022 Summer,T1,Gen.G,Win,Gen.G,T1,Red,31:44,Lissandra,Corki,1,0,6,7.0,231,10.8,10.3,-73,Teleport,Flash,"['EmptyIcon', 'Dark Seal', ""Zhonya's Hourglass"", 'Blasting Wand', ""Sorcerer's Shoes"", ""Liandry's Anguish"", 'Oracle Lens']",EmptyIcon,Dark Seal,Zhonya's Hourglass,Blasting Wand,Sorcerer's Shoes,Liandry's Anguish
54,28,2022-07-08,LCK 2022 Summer,T1,Gen.G,Win,T1,Gen.G,Blue,30:20,Lissandra,Akali,2,1,6,8.0,293,13.0,16.8,-1,Teleport,Flash,"[""Luden's Tempest"", ""Rabadon's Deathcap"", 'Broken Stopwatch', ""Sorcerer's Shoes"", 'Shadowflame', 'EmptyIcon', 'Oracle Lens']",Luden's Tempest,Rabadon's Deathcap,Broken Stopwatch,Sorcerer's Shoes,Shadowflame,EmptyIcon
55,29,2022-07-08,LCK 2022 Summer,T1,Gen.G,Loss,Gen.G,T1,Red,30:21,Swain,Azir,0,1,2,2.0,250,9.7,7.4,-74,Teleport,Flash,"['Corrupting Potion', ""Zhonya's Hourglass"", 'Control Ward', ""Rylai's Crystal Scepter"", 'Ionian Boots of Lucidity', 'Imperial Mandate', 'Oracle Lens']",Corrupting Potion,Zhonya's Hourglass,Control Ward,Rylai's Crystal Scepter,Ionian Boots of Lucidity,Imperial Mandate
56,30,2022-07-01,LCK 2022 Summer,T1,DRX,Win,T1,DRX,Blue,29:56,Swain,Viktor,0,1,7,7.0,258,10.8,10.8,-58,Teleport,Flash,"['EmptyIcon', 'Needlessly Large Rod', ""Zhonya's Hourglass"", 'Imperial Mandate', ""Rylai's Crystal Scepter"", 'Ionian Boots of Lucidity', 'Farsight Alteration']",EmptyIcon,Needlessly Large Rod,Zhonya's Hourglass,Imperial Mandate,Rylai's Crystal Scepter,Ionian Boots of Lucidity
57,31,2022-07-01,LCK 2022 Summer,T1,DRX,Win,T1,DRX,Blue,39:01,Corki,Ahri,6,3,5,3.67,355,17.5,31.2,-26,Teleport,Flash,"['Muramana', 'Guardian Angel', 'Void Staff', 'Maw of Malmortius', ""Luden's Tempest"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Muramana,Guardian Angel,Void Staff,Maw of Malmortius,Luden's Tempest,Sorcerer's Shoes
