,Date,Pl,Event,Last Result,Team,Roster,Tournament Number
27,2018-09-12,4,Korea Regional Finals 2018,2: 3 GEN,⁠⁠SKT,"Untara, Blank, Faker, Bang, Effort, PoohManDu, Bengi",45
28,2018-08-29,2,Asian Games 2018 Main Event,1: 3 CHN,⁠⁠KOR,"Kiin, Score, Peanut, Faker, Ruler, CoreJJ, Edgar, Zefa",44
29,2018-08-09,7,LCK 2018 Summer,8 - 10 RR,⁠⁠SKT,"Thal, Blank, Blossom, Faker, Pirean, Bang, Leo, Wolf, Effort, kkOma, PoohManDu, Bengi",43
30,2018-07-08,2,Rift Rivals 2018 LCK-LPL-LMS,2: 3 LPL,⁠⁠SKT,"Thal, Blank, Faker, Bang, Wolf, kkOma",42
31,2018-06-10,Q,Asian Games 2018 Q - East,8 - 2 RR,⁠⁠KOR,"Kiin, Score, Peanut, Faker, Ruler, CoreJJ, Edgar, Zefa",41
32,2018-04-04,4,LCK 2018 Spring Playoffs,1: 3 KT,⁠⁠SKT,"Thal, Blank, Faker, Bang, Effort, Wolf, kkOma, PoohManDu",40
33,2018-03-25,4,LCK 2018 Spring,9 - 9 RR,⁠⁠SKT,"Untara, Thal, Blank, Wolf, Blossom, Faker, Bang, Effort, kkOma, PoohManDu",39
34,2017-12-09,3 - 4,All-Star 2017 Los Angeles,1: 2 LPL,⁠⁠LCK,"CuVee, Ambition, Faker, PraY, GorillA, H-Dragon",38
35,2017-12-02,3 - 4,KeSPA Cup 2017,0: 2 LZ,⁠⁠SKT,"Untara, Blank, Faker, Bang, Effort, Wolf, kkOma, PoohManDu",37
36,2017-11-04,2,Worlds 2017,0: 3 SSG,⁠⁠SKT,"Huni, Peanut, Blank, Faker, Bang, Wolf, kkOma",36
37,2017-08-26,2,LCK 2017 Summer Playoffs,1: 3 LZ,⁠⁠SKT,"Untara, Huni, Peanut, Blank, Faker, Bang, Wolf, cCarter, kkOma",35
38,2017-08-06,4,LCK 2017 Summer,13 - 5 RR,⁠⁠SKT,"Huni, Untara, Peanut, Blank, Faker, Bang, Wolf, cCarter, kkOma, RapidStar",34
39,2017-07-09,2,Rift Rivals 2017 LCK-LPL-LMS,1: 3 LPL,⁠⁠SKT,"Huni, Peanut, Blank, Faker, Bang, Wolf, kkOma",33
40,2017-05-21,1,MSI 2017,3: 1 G2,⁠⁠SKT,"Huni, Peanut, Faker, Bang, Wolf, kkOma",32
41,2017-04-22,1,LCK 2017 Spring Playoffs,3: 0 KT,⁠⁠SKT,"Huni, Peanut, Faker, Bang, Wolf, cCarter, kkOma",31
42,2017-04-02,1,LCK 2017 Spring,16 - 2 RR,⁠⁠SKT,"Huni, Profit, Peanut, Blank, Faker, Bang, Wolf, cCarter, kkOma, RapidStar",30
43,2016-11-19,3 - 4,KeSPA Cup 2016,0: 2 ROX,⁠⁠SKT,"Duke, Profit, Bengi, Blank, Faker, Bang, Wolf, L.i.E.S, kkOma",29
44,2016-10-29,1,Worlds 2016,3: 2 SSG,⁠⁠SKT,"Duke, Bengi, Blank, Faker, Bang, Wolf, kkOma",28
45,2016-08-20,3,LCK 2016 Summer Playoffs,2: 3 KT,⁠⁠SKT,"Duke, Blank, Faker, Bang, Wolf, L.i.E.S, kkOma",27
46,2016-08-06,2,LCK 2016 Summer,13 - 5 RR,⁠⁠SKT,"Duke, Bengi, Blank, Faker, Bang, Wolf, L.i.E.S, kkOma",26
47,2016-05-15,1,MSI 2016,3: 0 CLG,⁠⁠SKT,"Duke, Blank, Faker, Bang, Wolf, kkOma",25
48,2016-04-23,1,LCK 2016 Spring Playoffs,3: 1 ROX,⁠⁠SKT,"Duke, Blank, Faker, Bang, Wolf, L.i.E.S, kkOma, PoohManDu",24
49,2016-04-09,3,LCK 2016 Spring,12 - 6 RR,⁠⁠SKT,"Duke, Bengi, Blank, Faker, Scout, Bang, Wolf, L.i.E.S, kkOma, PoohManDu",23
50,2016-03-07,1,IEM Season 10 World Championship,3: 0 FNC,⁠⁠SKT,"Duke, Blank, Faker, Bang, Wolf, kkOma, PoohManDu",22
51,2015-11-14,3 - 4,KeSPA Cup 2015,0: 2 ESC,⁠⁠SKT,"MaRin, Bengi, Faker, Scout, Bang, Wolf",21
52,2015-10-31,1,Worlds 2015,3: 1 KOO,⁠⁠SKT,"MaRin, Bengi, Faker, Easyhoon, Bang, Wolf, kkOma",20
53,2015-08-29,1,Champions 2015 Summer Playoffs,3: 0 KT,⁠⁠SKT,"MaRin, Bengi, Faker, Bang, Wolf, L.i.E.S, kkOma",19
54,2015-08-13,1,Champions 2015 Summer,17 - 1 RR,⁠⁠SKT,"MaRin, T0M, Bengi, Easyhoon, Faker, Bang, Wolf, L.i.E.S, kkOma",18
55,2015-05-10,2,MSI 2015,2: 3 EDG,⁠⁠SKT,"MaRin, Bengi, Faker, Easyhoon, Bang, Wolf, kkOma",17
56,2015-05-02,1,Champions 2015 Spring Playoffs,3: 0 GET,⁠⁠SKT,"MaRin, T0M, Bengi, Easyhoon, Faker, Bang, Wolf, L.i.E.S, kkOma",16
57,2015-04-11,2,Champions 2015 Spring,11 - 3 RR,⁠⁠SKT,"MaRin, Bengi, T0M, Faker, Easyhoon, Bang, Wolf, Piccaboo, L.i.E.S, kkOma",15
58,2014-12-20,1,Champions 2015 Spring Preseason,4-1-0 RR,⁠⁠SKT,"MaRin, Impact, Bengi, Faker, Easyhoon, Bang, Wolf, PiccaBoo, L.i.E.S, kkOma",14
59,2014-08-30,2,Korea Regional Finals 2014,1: 3 NJWS,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",13
60,2014-08-16,5 - 8,Champions 2014 Summer,1: 3 SSW,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, PoohManDu",12
61,2014-08-09,1,NLB 2014 Summer,3: 0 NJBS,⁠⁠SKT K,"Impact, Bengi, Faker, Piglet, PoohManDu, kkOma",11
62,2014-05-14,3,NLB 2014 Spring,3: 0 KT.B,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",10
63,2014-05-11,1,All-Star 2014 Paris,3: 0 OMG,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, Poohmandu, kkOma",9
64,2014-04-16,5 - 8,Champions 2014 Spring,1: 3 SSO,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, Casper, PoohManDu",8
65,2014-01-25,1,Champions 2014 Winter,3: 0 SSO,⁠⁠SKT K,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",7
66,2013-10-04,1,Worlds Season 3,3: 0 RYL,⁠⁠SKT,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",6
67,2013-09-07,1,Korea Regional Finals Season 3,3: 1 KT.B,⁠⁠SKT,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",5
68,2013-08-31,1,Champions 2013 Summer,3: 2 KT.B,⁠⁠SKT 2,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",4
69,2013-06-29,3 - 4,AMD-INVEN GamExperience,0: 2 MVP.O,⁠⁠SKT 2,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",3
70,2013-06-15,3,Champions 2013 Spring,3: 0 CJF,⁠⁠SKT 2,"Impact, bengi, Faker, Piglet, PoohManDu, kkOma",2
71,2013-03-23,Q,Champions 2013 Spring Qualifiers,2: 0 BEGG,⁠⁠SKT 2,"Impact, bengi, Faker, Piglet, PoohManDu",1
