,Champion,G,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KP,KS,GS
23,Irelia,11,6,5,54.5%,3.09,2.45,3.73,2.78,263.55,8.96,11.6,396,-,-,59.5%,27%,22.3%
24,Fizz,10,9,1,90%,5,2.2,5.1,4.59,327,8.7,15.9,423,-,-,-,-,-
25,Zilean,10,9,1,90%,3.5,1.7,7.8,6.65,348.4,8.71,16.4,411,-,-,-,-,-
26,Anivia,10,8,2,80%,3.6,1.2,6.4,8.33,369.4,9.28,16.8,421,-,-,74.1%,26.7%,22.4%
27,Lucian,10,8,2,80%,3.1,1.9,3.7,3.58,336.3,10.09,15.2,455,-,-,63%,28.7%,23.4%
28,Malzahar,10,7,3,70%,3.6,1.8,6.7,5.72,331,9.46,15,429,-,-,73%,25.5%,22.1%
29,Nidalee,10,7,3,70%,4.7,1.3,6.2,8.38,261.7,7.68,-,-,-,-,-,-,-
30,Gragas,9,7,2,77.8%,4.89,1.56,4.22,5.86,288.56,9.23,-,-,-,-,-,-,-
31,Vladimir,9,2,7,22.2%,2.11,3.33,3.44,1.67,303.56,9.11,12.6,379,-,-,70.4%,26.8%,22.4%
32,Renekton,8,5,3,62.5%,2.38,2.13,4.38,3.18,284.88,8.67,12.8,390,-,-,61.4%,21.6%,21.1%
33,Ekko,8,4,4,50%,4,2.75,4.5,3.09,312.38,9.15,14.2,416,-,-,64.2%,30.2%,22.6%
34,Seraphine,7,6,1,85.7%,3,1.14,9.43,10.88,240.71,7.75,11.6,373,12.2k,394,75.7%,18.3%,19.8%
35,Jayce,7,5,2,71.4%,5,2.43,6,4.53,291.71,8.38,-,-,-,-,-,-,-
36,Karthus,7,4,3,57.1%,6.43,4.57,7.43,3.03,320.57,8.83,-,-,-,-,-,-,-
37,Swain,7,2,5,28.6%,1.29,2.14,4.71,2.8,259,8.44,10.8,352,-,-,61.8%,13.2%,20.8%
38,Xerath,7,2,5,28.6%,3,2.29,3,2.63,330.86,9.31,-,-,-,-,-,-,-
39,Riven,6,6,0,100%,6.17,2.5,5.67,4.73,263.67,7.89,13.3,397,-,-,-,-,-
40,Urgot,6,4,2,66.7%,2.5,1.67,2.67,3.1,264.17,9.11,11.5,398,-,-,56.4%,27.3%,21.2%
41,Rumble,6,2,4,33.3%,1,2.17,4.5,2.54,347.5,9.07,14.3,374,-,-,68.8%,12.5%,21.8%
42,Tristana,5,5,0,100%,3.6,0.6,5,14.33,294.8,9.11,14.7,453,-,-,62.3%,26.1%,23.2%
43,Vex,5,5,0,100%,4.8,0.8,5.6,13,236.4,7.71,12.2,399,14.3k,466,56.5%,26.1%,20%
44,Talon,5,3,2,60%,4.6,2.4,4,3.58,242.4,8.09,11.8,395,-,-,-,-,-
45,Diana,4,4,0,100%,6,0.75,4.25,13.67,276.75,9.3,13.1,440,-,-,-,-,-
46,Katarina,4,3,1,75%,6.25,2,4.5,5.38,278,8.05,14.6,423,-,-,61.4%,35.7%,21.4%
47,Kog'Maw,4,3,1,75%,5,1.75,4.75,5.57,412.75,9.95,-,-,-,-,-,-,-
48,Nocturne,4,3,1,75%,3.5,2.25,4.75,3.67,323.25,8.71,15.4,414,11.8k,319,56.9%,24.1%,22%
49,Sett,4,2,2,50%,1.75,2.5,5,2.7,263.75,8.21,11.8,367,-,-,54%,14%,20.6%
50,Gangplank,4,1,3,25%,2.75,3.5,3.25,1.71,331.25,8.94,15.9,428,-,-,75%,34.4%,25.6%
51,Varus,3,3,0,100%,4,0.67,5.67,14.5,344.33,8.72,16.6,421,-,-,72.5%,30%,22.1%
52,Qiyana,3,2,1,66.7%,5,4,10,3.75,233,6.09,13.8,360,-,-,69.2%,23.1%,18.9%
53,Vel'Koz,3,2,1,66.7%,3.33,3,6.67,3.33,353.33,8.63,16.3,399,-,-,58.8%,19.6%,22.4%
54,Mordekaiser,3,1,2,33.3%,3,1.67,4.33,4.4,296,10.06,12.3,419,-,-,59.5%,24.3%,23.4%
55,Ziggs,3,1,2,33.3%,5.33,2.67,7.67,4.88,371,9.78,-,-,-,-,-,-,-
56,Kha'Zix,2,2,0,100%,7.5,2,5,6.25,294,9.82,-,-,-,-,-,-,-
57,Lee Sin,2,2,0,100%,5.5,2,6.5,6,217.5,7.69,12.1,429,14.7k,520,68.6%,31.4%,22.6%
58,Master Yi,2,2,0,100%,7,2.5,4.5,4.6,269,8.8,13.4,437,-,-,56.1%,34.1%,22.8%
59,Ornn,2,2,0,100%,2,0.5,11,26,286.5,8.26,13.1,379,-,-,78.8%,12.1%,20.5%
60,Sion,2,2,0,100%,2,2.5,9,4.4,250,7.73,11.3,349,-,-,61.1%,11.1%,18.2%
61,Aatrox,2,1,1,50%,2,1.5,4,4,351,9.64,14.4,395,-,-,52.2%,17.4%,21.9%
62,Camille,2,1,1,50%,1.5,2,6,3.75,298,9.24,13.1,406,-,-,57.7%,11.5%,20.8%
63,Jax,2,1,1,50%,4.5,5,4,1.7,258,8.35,12.1,392,-,-,43.6%,23.1%,22.1%
64,Kai'Sa,2,1,1,50%,3,3.5,5,2.29,266.5,7.48,12.8,361,28.2k,793,51.6%,19.4%,18.8%
65,Taric,2,1,1,50%,0.5,3,7.5,2.67,30,1.27,6.3,267,-,-,84.2%,5.3%,14.7%
66,Olaf,1,1,0,100%,8,2,8,8,240,8.56,12.9,460,-,-,72.7%,36.4%,23.6%
67,Poppy,1,1,0,100%,5,3,3,2.67,362,9.07,17.3,433,-,-,61.5%,38.5%,21.8%
68,Tryndamere,1,1,0,100%,8,1,6,14,280,10.02,14.9,533,12.1k,434,73.7%,42.1%,26.3%
69,Veigar,1,1,0,100%,8,0,6,14,268,8.78,14.2,465,13.5k,442,66.7%,38.1%,23.4%
70,Darius,1,0,1,0%,0,2,4,2,316,8.44,13.7,367,-,-,80%,0%,20.8%
71,Kayle,1,0,1,0%,1,6,7,1.33,367,9.3,-,-,-,-,-,-,-
72,Lux,1,0,1,0%,2,6,3,0.83,201,6.98,-,-,-,-,-,-,-
73,Nautilus,1,0,1,0%,2,3,1,1,221,6.63,10.3,308,-,-,75%,50%,20.2%
74,Pantheon,1,0,1,0%,3,5,2,1,210,7.19,9.4,322,-,-,62.5%,37.5%,20.3%
75,Quinn,1,0,1,0%,2,2,0,1,287,10.19,11,391,-,-,100%,100%,25.5%
76,Singed,1,0,1,0%,0,2,0,0,317,8.26,12.1,314,-,-,0%,0%,20.8%
