Champion,Games,Wins,WR,K,D,A,KDA,Average CSD,Average Dmg,CS/M,Gold/M,Average Game Time
Lux,1,0,0.0%,2.0,6.0,3.0,0.83,-17.0,,6.98,0.0,28:49
Malzahar,10,7,70.0%,3.6,1.8,6.7,5.72,4.5,,9.46,428.9,34:59
Master Yi,2,2,100.0%,7.0,2.5,4.5,4.6,69.5,,8.8,436.8,30:34
Mordekaiser,3,1,33.3%,3.0,1.7,4.3,4.4,37.7,,10.06,418.2,29:24
Nautilus,1,0,0.0%,2.0,3.0,1.0,1.0,-33.0,,6.63,309.2,33:19
Neeko,13,9,69.2%,2.0,1.6,6.2,5.05,0.4,,8.72,395.3,33:06
Nidalee,10,7,70.0%,4.7,1.3,6.2,8.38,-3.5,,7.68,215.0,34:05
Nocturne,4,3,75.0%,3.5,2.2,4.8,3.67,-3.8,11800,8.71,414.2,37:07
Olaf,1,1,100.0%,8.0,2.0,8.0,8.0,81.0,,8.56,459.9,28:03
Orianna,68,44,64.7%,3.5,2.2,6.3,4.41,22.8,15230,9.07,374.4,35:59
Ornn,2,2,100.0%,2.0,0.5,11.0,26.0,-38.0,,8.26,379.1,34:41
Pantheon,1,0,0.0%,3.0,5.0,2.0,1.0,-24.0,,7.19,321.9,29:12
Poppy,1,1,100.0%,5.0,3.0,3.0,2.67,-5.0,,9.07,433.6,39:54
Qiyana,3,2,66.7%,5.0,4.0,10.0,3.75,-43.7,,6.09,360.0,38:14
Quinn,1,0,0.0%,2.0,2.0,0.0,1.0,33.0,,10.19,390.5,28:10
Renekton,8,5,62.5%,2.4,2.1,4.4,3.18,2.1,10483,8.67,389.2,32:51
Riven,6,6,100.0%,6.2,2.5,5.7,4.73,21.5,,7.89,396.7,33:23
Rumble,6,2,33.3%,1.0,2.2,4.5,2.54,-5.2,,9.07,374.3,38:17
Ryze,77,49,63.6%,3.6,2.1,5.0,4.1,39.4,12220,9.48,413.1,34:59
Seraphine,7,6,85.7%,3.0,1.1,9.4,10.88,-28.4,12243,7.75,372.8,31:04
Sett,4,2,50.0%,1.8,2.5,5.0,2.7,24.0,9767,8.21,367.5,32:06
Singed,1,0,0.0%,0.0,2.0,0.0,0.0,-92.0,,8.26,315.4,38:22
Sion,2,2,100.0%,2.0,2.5,9.0,4.4,-26.5,,7.73,349.2,32:21
Swain,7,2,28.6%,1.3,2.1,4.7,2.8,-26.7,10850,8.44,351.5,30:41
Sylas,18,11,61.1%,3.1,2.4,4.4,3.14,13.1,12967,8.67,398.0,32:42
Syndra,13,10,76.9%,4.5,3.1,4.2,2.82,49.1,,9.22,389.9,34:03
Taliyah,24,17,70.8%,3.4,1.9,4.9,4.4,30.3,17233,9.5,426.3,35:24
Talon,5,3,60.0%,4.6,2.4,4.0,3.58,-2.0,,8.09,395.1,29:58
Taric,2,1,50.0%,0.5,3.0,7.5,2.67,-98.0,,1.27,266.1,23:40
Tristana,5,5,100.0%,3.6,0.6,5.0,14.33,15.8,10600,9.11,453.1,32:21
Tryndamere,1,1,100.0%,8.0,1.0,6.0,14.0,-1.0,12100,10.02,533.4,27:56
Twisted Fate,32,23,71.9%,3.2,2.0,6.9,4.98,13.3,10835,8.53,405.6,33:37
Urgot,6,4,66.7%,2.5,1.7,2.7,3.1,15.0,,9.11,398.3,29:00
Varus,3,3,100.0%,4.0,0.7,5.7,14.5,-6.3,,8.72,421.3,39:29
Veigar,1,1,100.0%,8.0,0.0,6.0,14.0,-37.0,13500,8.78,465.3,30:31
Vel'Koz,3,2,66.7%,3.3,3.0,6.7,3.33,-36.3,,8.63,398.9,40:56
Vex,5,5,100.0%,4.8,0.8,5.6,13.0,-51.0,14260,7.71,399.4,30:38
Viktor,41,30,73.2%,4.8,2.4,5.3,4.22,32.3,24121,9.14,424.9,38:39
Vladimir,9,2,22.2%,2.1,3.3,3.4,1.67,16.4,,9.11,378.5,33:19
Xerath,7,2,28.6%,3.0,2.3,3.0,2.62,19.7,,9.31,200.2,35:32
Yasuo,15,9,60.0%,4.9,1.9,4.7,4.97,46.7,10400,9.44,377.8,30:32
Zed,11,10,90.9%,6.3,2.9,6.2,4.28,35.4,,8.36,388.5,31:33
Ziggs,1,0,0.0%,1.0,1.0,0.0,1.0,20.0,,10.23,335.8,32:10
Zilean,10,9,90.0%,3.5,1.7,7.8,6.65,12.4,,8.71,411.0,39:59
Zoe,33,19,57.6%,2.9,1.5,4.9,5.12,-0.8,16453,8.42,387.4,34:25
